"binomial","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
"Acridotheres cinereus",-0.646386357566308,0.225570419095901,0.107538023419235,1.17223568660672,0.0751109150276387
"Acridotheres cristatellus",-0.355647999874358,0.264351230269499,1.19332409301526,0.275304356688949,0.223092334307835
"Acridotheres fuscus",-0.415884549832333,0.765084740557787,0.481002810462487,0.328346430875935,-0.0386914941397688
"Acridotheres ginginianus",-0.688031883901665,0.552653559872139,1.62596502819505,-0.0247948841374527,0.099576560105076
"Acridotheres grandis",-0.573003299236171,0.47737190834996,1.08564131452404,0.673617206797448,0.0272506936721192
"Acridotheres javanicus",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
"Acridotheres leucocephalus",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
"Acridotheres melanopterus",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
"Acridotheres tertius",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
"Acridotheres tricolor",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
"Acridotheres tristis",-0.139068114184824,0.0160803908405622,1.81481062530795,0.151204466565529,0.0203086651910689
"Acritillas indica",0.290058352375148,0.931092454376261,-0.124101818441383,-1.02682657114832,-0.715092514874867
"Acrobates pygmaeus",-1.12411265603862,-0.467290932655515,-0.518042729889743,0.40212548327253,-0.174677233313553
"Acrobatornis fonsecai",-1.31122912113975,-0.644770529117392,-0.519917656597788,0.531896259873635,0.0454126354659859
"Acrocephalus aequinoctialis",-0.692872256571609,-0.587478377533219,-1.10727698878089,1.00155272112825,-0.204826307764406
"Acrocephalus agricola",-1.83096699849307,-0.415892725146416,0.795934686414968,0.507393684389334,-0.126891815685773
"Acrocephalus arundinaceus",-0.860362572724901,-0.864044420808748,2.29757999940292,-0.291894484169258,0.110663537357418
"Acrocephalus atyphus",-0.356684583268637,-0.867449219772979,0.231274600389833,0.177927173518995,-0.110909622697291
"Acrocephalus australis",-1.13726491006259,-0.708067224618125,1.07862245570168,0.566554889988636,-0.152510869966232
"Acrocephalus bistrigiceps",-1.9666265215969,-0.30529953506988,0.912954923980324,0.590457734561426,-0.200121902851881
"Acrocephalus brevipennis",-0.634707848286997,-1.49505233135799,1.18178771860005,-0.602098227691987,0.0717776377745261
"Acrocephalus caffer",-0.871979934844313,-0.576989667706058,0.0293919432269875,0.470916625017816,0.16256470870353
"Acrocephalus concinens",-1.67313008740083,-0.73693205342975,0.441388308148031,0.166990274049804,0.00126276016228782
